,Candidato,Número,Partido,Gênero,Naturalidade,Cor,Estado civil,Grau de instrução,Data de nascimento,Coalisão,Image URL,Idade,Total de recursos recebidos (R$),Fundo partidário,Fundo especial,Outros recursos,Recursos financeiros,Doação de pessoas físicas,Recursos estimáveis,Doação de partidos,Recursos próprios,Limite de gastos (R$),Total de despesas contratadas (R$),Total de despesas pagas (R$),Total de Bens Declarados,Vezes em que concorreu
72,DR WALTER JUCA,45699,PSDB,Feminino,FLORIANÓPOLIS / SC,preta,Viúva,Superior completo,1947-11-16,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002367169.jpeg,76.0,,,,,,,,,,,,,559107.88,4
73,DR. CABRAL,20001,PODE,Feminino,PEDRO GOMES / MS,branca,Casada,Superior completo,1963-07-12,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029036.jpeg,61.0,5000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,2400.0,2400.0,0.0,1
74,DRA.LIDIA,22691,PL,Feminino,SÃO FRANCISCO DO SUL / SC,branca,Solteira,Superior completo,1967-12-30,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149659.jpeg,56.0,50000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,889000.0,0
75,ÉDINA ANTUNES,50550,PSOL,Feminino,PORTO ALEGRE / RS,branca,Solteira,Superior completo,1970-05-08,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293283.jpeg,54.0,28521.08,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,19300.0,14300.0,823000.0,0
76,EDSON OSMAR PIRES,10027,REPUBLICANOS,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1974-12-12,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947378.jpeg,49.0,8333.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,6510.0,6510.0,425900.0,2
77,EDUARDO MOREIRA LIMA,22555,PL,Masculino,RIO DE JANEIRO / RJ,branca,Casado,Superior completo,1974-06-04,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149669.jpeg,50.0,67600.0,0.0,73.96,26.04,100.0,26.04,0.0,0.0,0.0,253058.41,11461.16,11461.15,446772.14999999997,1
78,ELAINE SALLAS,50333,PSOL,Feminino,ARAÇATUBA / SP,parda,Solteira,Superior completo,1983-10-26,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293286.jpeg,40.0,97784.94,0.0,97.87,2.13,99.49,0.51,0.51,0.51,0.0,253058.41,30578.57,4920.56,0.0,1
79,ELENIRA E COLETIVA POPULAR,13013,PT,Feminino,RIO DE JANEIRO / RJ,branca,Solteira,Superior completo,1976-01-06,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149330.jpeg,48.0,80332.85,0.0,63.37,36.63,86.31,36.91,13.69,13.69,0.0,253058.41,48382.54,40282.54,827211.09,3
80,ELLEN BUSATO,30183,NOVO,Feminino,SÃO PAULO / SP,branca,Solteira,Superior completo,1991-07-01,NOVO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001911806.jpeg,33.0,14835.48,0.0,60.74,39.26,85.84,0.0,14.16,14.16,0.0,253058.41,5618.0,5618.0,0.0,0
81,FÁBIO BRAGA,55111,PSD,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1981-10-06,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988755.jpeg,43.0,,,,,,,,,,253058.41,12990.6,0.0,1367174.72,2
82,FAFÁ FLORES,50111,PSOL,Masculino,CANOAS / RS,branca,Solteiro,Superior completo,1978-03-06,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293284.jpeg,46.0,15210.0,0.0,92.04,7.96,100.0,0.0,0.0,0.0,0.0,253058.41,2230.17,2230.17,0.0,0
83,,,,Feminino,,,,,1970-01-01,,https://www.gravatar.com/avatar/?d=mp,54.0,,,,,,,,,,,,,0.0,0
84,,,,Feminino,,,,,1970-01-01,,https://www.gravatar.com/avatar/?d=mp,54.0,,,,,,,,,,,,,0.0,0
85,,,,Feminino,,,,,1970-01-01,,https://www.gravatar.com/avatar/?d=mp,54.0,,,,,,,,,,,,,0.0,0
86,,,,Feminino,,,,,1970-01-01,,https://www.gravatar.com/avatar/?d=mp,54.0,,,,,,,,,,,,,0.0,0
87,FLÁVIO SOBIERAJSKI,11022,PP,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1970-06-12,PP,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002151398.jpeg,54.0,38022.72,0.0,100.0,0.0,18.41,0.0,81.59,81.59,0.0,,,,179340.91999999998,0
88,FONTÃO,18100,REDE,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior completo,1975-10-13,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293285.jpeg,48.0,41150.0,0.0,97.21,2.79,100.0,2.79,0.0,0.0,0.0,253058.41,2343.0,143.0,71577.0,4
89,,,,Feminino,,,,,1970-01-01,,https://www.gravatar.com/avatar/?d=mp,54.0,,,,,,,,,,,,,0.0,0
90,GABRIEL CESAR,30500,NOVO,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior completo,1996-09-22,NOVO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001911803.jpeg,28.0,47521.15,0.0,0.0,100.0,66.75,85.06,33.25,33.25,0.0,253058.41,13328.02,11750.62,55000.0,1
91,GABRIEL GIGANTE,55125,PSD,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1985-05-12,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988754.jpeg,39.0,3830.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,253058.41,139.8,139.8,184000.0,0
92,GEMADA,22500,PL,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Ensino Fundamental incompleto,1979-04-25,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149675.jpeg,45.0,56360.0,0.0,88.72,11.28,100.0,11.28,0.0,0.0,0.0,253058.41,50219.3,50219.3,340414.71,1
93,GENISON BARBOSA,10456,REPUBLICANOS,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1969-07-04,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947369.jpeg,55.0,8333.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,8333.0,8333.0,0.0,0
94,GENIVALDO,11222,PP,Masculino,SANTA TEREZINHA / BA,preta,Casado,Ensino Fundamental completo,1973-01-23,PP,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002151394.jpeg,51.0,40722.72,0.0,72.16,27.84,23.82,6.63,76.18,76.18,0.0,253058.41,3200.0,0.0,0.0,1
95,GERSON HILBERT,45222,PSDB,Masculino,URUSSANGA / SC,branca,Casado,Superior completo,1956-05-14,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292440.jpeg,68.0,,,,,,,,,,,,,2125393.82,0
96,GI LATRONICO,45677,PSDB,Feminino,FLORIANÓPOLIS / SC,branca,Divorciada,Ensino Fundamental completo,1985-06-11,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292447.jpeg,39.0,10000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,60000.0,0
97,GILBERTO RATEKE,40000,PSB,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior completo,1976-10-31,PSB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002291710.jpeg,47.0,2850.0,35.09,0.0,64.91,100.0,52.63,0.0,0.0,12.28,,,,340000.0,0
98,GUGA,20369,PODE,Masculino,MANAUS / AM,branca,Solteiro,Superior completo,1963-09-30,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029027.jpeg,61.0,500.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,,,,28933.57,0
99,GUI PEREIRA,55100,PSD,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Ensino Médio completo,1976-07-19,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988746.jpeg,48.0,30500.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,253058.41,34675.0,19325.0,1092420.0,5
100,GUILHERME CHINA,20200,PODE,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1970-08-27,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029044.jpeg,54.0,7000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,19243.0,0
101,GUTO CORREIA,10223,REPUBLICANOS,Masculino,FLORIANÓPOLIS / SC,parda,Solteiro,Superior completo,1983-03-23,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947370.jpeg,41.0,10988.0,0.0,98.36,1.64,100.0,1.64,0.0,0.0,0.0,253058.41,10077.0,10077.0,0.0,1
102,HABNER FORTUNATO,45789,PSDB,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Ensino Médio completo,1988-06-17,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292442.jpeg,36.0,,,,,,,,,,,,,0.0,0
103,HELIO COSTA,15010,MDB,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Ensino Médio completo,1954-03-03,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150353.jpeg,70.0,10000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,60000.0,2
104,IGOR CHAVES MÉDICO DE FAMÍLIA,13192,PT,Masculino,DOURADOS / MS,branca,Solteiro,Superior completo,1980-01-01,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149320.jpeg,44.0,64908.68,0.0,72.13,27.87,93.84,26.38,6.16,6.16,2.31,253058.41,49036.27,37786.27,1000000.0,0
105,INGO CAMARA,22100,PL,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior incompleto,2006-05-26,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149673.jpeg,18.0,67066.0,0.0,74.55,25.45,100.0,15.66,0.0,0.0,0.0,253058.41,24582.66,14077.99,0.0,0
106,INGRID SATERÉ-MAWÉ,50180,PSOL,Feminino,MANAUS / AM,indÍgena,Divorciada,Superior completo,1987-10-29,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293282.jpeg,36.0,116470.0,6.67,89.8,3.53,96.57,3.43,3.43,3.43,0.0,253058.41,69102.23,28652.23,0.0,1
107,ISA SANTOS,30333,NOVO,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,2001-05-17,NOVO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001911792.jpeg,23.0,17102.31,0.0,51.56,48.44,87.72,12.9,12.28,12.28,0.0,253058.41,9772.69,9772.69,0.0,0
108,IVAN DÁRIO,12444,PDT,Masculino,RIO CLARO / SP,branca,Solteiro,Superior incompleto,1949-05-22,PDT,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292905.jpeg,75.0,6000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,1
109,IVAN ROBERTO DA SILVA,15326,MDB,Masculino,CONCÓRDIA / SC,branca,Solteiro,Ensino Fundamental completo,1976-08-26,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150354.jpeg,48.0,10000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,438791.0,0
110,IVONILDE BEZERRA,70070,AVANTE,Feminino,ARAGUAÍNA / TO,branca,Solteira,Ensino Médio completo,1976-10-04,AVANTE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002348465.jpeg,48.0,,,,,,,,,,,,,0.0,0
111,JAJÁ DO CONTINENTE,15001,MDB,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1957-03-21,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150361.jpeg,67.0,11190.0,0.0,89.37,10.63,100.0,0.0,0.0,0.0,10.63,,,,30000.0,4
112,JEAN RAMOS,43333,PV,Masculino,FLORIANÓPOLIS / SC,branca,Divorciado,Superior completo,1972-12-05,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149309.jpeg,51.0,54382.45,0.0,100.0,0.0,90.1,0.0,9.9,9.9,0.0,,,,156966.92,3
113,JEAN SÓ ALEGRIA,10200,REPUBLICANOS,Masculino,FLORIANÓPOLIS / SC,branca,Divorciado,Ensino Médio completo,1965-09-28,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947375.jpeg,59.0,8723.0,0.0,95.53,4.47,100.0,2.29,0.0,0.0,0.0,253058.41,6705.94,6705.94,0.0,3
114,JEFERSON BACKER,15055,MDB,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior completo,1981-05-14,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150359.jpeg,43.0,3900.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,253058.41,16871.2,3861.2,380000.0,2
115,JOÃO BATISTA NUNES,15115,MDB,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior completo,1967-05-15,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150367.jpeg,57.0,18000.0,0.0,55.56,44.44,100.0,38.89,0.0,0.0,5.56,253058.41,4243.49,4243.49,466159.7,7
116,JOÃO COBALCHINI,15600,MDB,Masculino,BRASÍLIA / DF,branca,Solteiro,Superior completo,1985-06-06,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150346.jpeg,39.0,36400.0,0.0,27.47,72.53,100.0,38.46,0.0,0.0,34.07,253058.41,20000.0,20000.0,0.0,1
117,JOÃO DE PAULA COLETIVA PCD,13004,PT,Masculino,MATIAS CARDOSO / MG,preta,Solteiro,Superior completo,1967-09-12,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149312.jpeg,57.0,44685.68,0.0,98.32,1.68,100.0,1.68,0.0,0.0,0.0,253058.41,14555.6,7624.6,0.0,2
118,JOÃO GANDOLFI,11234,PP,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior completo,1983-08-12,PP,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002151397.jpeg,41.0,39422.72,0.0,83.33,16.67,21.31,3.55,78.69,78.69,0.0,253058.41,6010.0,0.0,0.0,0
119,JOÃO LUIZ DA BEGA,10690,REPUBLICANOS,Masculino,FLORIANÓPOLIS / SC,branca,Divorciado,Superior completo,1967-07-20,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947372.jpeg,57.0,50633.0,0.0,16.46,83.54,100.0,44.04,0.0,0.0,39.5,253058.41,28408.0,21158.0,644271.22,4
120,JOÃO MATEUS,40717,PSB,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior incompleto,1990-11-30,PSB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002291713.jpeg,33.0,1000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,0
121,JOÃO PADILHA,22822,PL,Masculino,SÃO PAULO / SP,branca,Casado,Superior completo,1975-09-15,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149666.jpeg,49.0,59000.0,0.0,84.75,15.25,100.0,6.78,0.0,0.0,8.47,253058.41,49530.99,49530.99,94000.0,2
122,JORNALISTA FABRICIO CORREIA,22022,PL,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1976-12-20,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149670.jpeg,47.0,50000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,2600.0,0.0,832803.0,2
123,JOSI DO REMO,40040,PSB,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1975-02-25,PSB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002291709.jpeg,49.0,2000.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,1000.0,1000.0,950000.0,0
124,JOSIMAR PEREIRA MAMÁ,44100,UNIÃO,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Ensino Médio incompleto,1980-06-22,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149002.jpeg,44.0,15000.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,253058.41,500.0,0.0,82000.0,2
125,JU GALLIANO,44555,UNIÃO,Feminino,CURITIBA / PR,branca,Solteira,Superior completo,1987-09-01,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002148993.jpeg,37.0,19860.0,0.0,98.49,1.51,100.0,0.0,0.0,0.0,1.51,253058.41,9323.66,9323.66,351000.0,0
126,JU POLLI LOBO,11122,PP,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1984-07-29,PP,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002151395.jpeg,40.0,64091.51,5.17,94.83,0.0,60.33,0.0,39.67,39.67,0.0,253058.41,9247.95,0.0,0.0,0
127,JUAREZ SILVEIRA,55456,PSD,Masculino,FLORIANÓPOLIS / SC,branca,Divorciado,Superior incompleto,1955-09-05,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988766.jpeg,69.0,227000.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,253058.41,57323.49,36693.0,152907.12,2
128,JUCA,20300,PODE,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior completo,1993-07-24,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029046.jpeg,31.0,81085.0,0.0,12.33,87.67,100.0,87.67,0.0,0.0,0.0,,,,0.0,1
129,JÚLIA OPUSKI,15030,MDB,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1990-03-29,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150366.jpeg,34.0,14000.0,0.0,71.43,28.57,100.0,28.57,0.0,0.0,0.0,253058.41,2010.0,2010.0,9289.94,0
130,JUNINHO,40123,PSB,Masculino,FLORIANÓPOLIS / SC,branca,Divorciado,Superior completo,1989-01-21,PSB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002291714.jpeg,35.0,1000.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,96000.0,0
131,JUNIOR DOS SANTOS,45048,PSDB,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Ensino Médio incompleto,1993-06-01,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292435.jpeg,31.0,15000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,0
132,KADU COMUNIDADES,40520,PSB,Masculino,PORTO ALEGRE / RS,parda,Solteiro,Ensino Médio completo,1978-10-20,PSB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002291717.jpeg,45.0,2000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,0
133,KAOMA MÔNEGO,22180,PL,Feminino,RIO GRANDE / RS,branca,Solteira,Superior completo,1990-12-02,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149663.jpeg,33.0,50000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,0
134,KATIA CHUBACI,22777,PL,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1972-06-07,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149664.jpeg,52.0,51000.0,0.0,98.04,1.96,100.0,0.0,0.0,0.0,1.96,253058.41,10150.0,2800.0,269302.88,1
135,KECO CARDOZO,20007,PODE,Masculino,FLORIANÓPOLIS / SC,preta,Solteiro,Ensino Médio completo,1988-05-19,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029038.jpeg,36.0,,,,,,,,,,,,,0.0,0
136,KELLY VIEIRA,15678,MDB,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1971-08-30,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150356.jpeg,53.0,114500.0,0.0,8.73,91.27,100.0,90.39,0.0,0.0,0.87,253058.41,20350.0,20350.0,0.0,0
137,KEVEN LEAL (MC KL),12200,PDT,Masculino,FLORIANÓPOLIS / SC,parda,Solteiro,Ensino Médio completo,2001-07-22,PDT,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292899.jpeg,23.0,6000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,5800.0,5800.0,0.0,0
138,LAIS TORMES,30222,NOVO,Feminino,SAPIRANGA / RS,branca,Solteira,Superior incompleto,2002-05-12,NOVO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001911799.jpeg,22.0,14835.48,0.0,60.74,39.26,85.84,0.0,14.16,14.16,0.0,253058.41,4435.0,4435.0,15000.0,0
139,LARYSSA SMITH,15500,MDB,Feminino,TROMBUDO CENTRAL / SC,branca,Casada,Superior completo,1988-09-18,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150360.jpeg,36.0,12500.0,0.0,80.0,20.0,100.0,0.0,0.0,0.0,20.0,253058.41,9000.0,9000.0,0.0,1
140,LEANDRO LIMA,10500,REPUBLICANOS,Masculino,PORTO ALEGRE / RS,branca,Solteiro,Superior completo,1968-06-13,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947382.jpeg,56.0,22120.27,0.0,37.67,62.33,100.0,0.0,0.0,0.0,0.0,253058.41,13396.26,13396.26,175895.97,1
141,LEDA PROFESSORA,13456,PT,Feminino,PIRIPIRI / PI,branca,Casada,Superior completo,1966-04-24,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149313.jpeg,58.0,24938.14,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,6819.0,5819.0,125381.98000000001,0
142,LEO GODINHO,30048,NOVO,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior incompleto,1995-07-20,NOVO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001911793.jpeg,29.0,20193.05,0.0,36.61,63.39,89.6,18.32,10.4,10.4,0.25,253058.41,13420.0,13420.0,140000.0,0
143,LIDO,13500,PT,Masculino,ARATIBA / RS,branca,Casado,Superior completo,1977-02-04,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149327.jpeg,47.0,19201.07,0.0,90.98,9.02,100.0,0.68,0.0,0.0,0.0,253058.41,1648.47,1648.47,618000.0,0
144,LIROUS K'YO,13003,PT,Feminino,PORTO ALEGRE / RS,preta,Solteira,Superior completo,1982-11-01,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149321.jpeg,41.0,29938.14,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,2
145,LUANA DA COSTEIRA,40444,PSB,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Ensino Médio completo,1981-06-02,PSB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002291707.jpeg,43.0,2000.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,0
146,LUANA DE SOUZA FARIAS,40130,PSB,Feminino,FLORIANÓPOLIS / SC,parda,Solteira,Superior completo,1994-04-22,PSB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002390122.jpeg,30.0,2000.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,0
147,LUANA FARIAS,10025,REPUBLICANOS,Feminino,FLORIANÓPOLIS / SC,preta,Casada,Superior incompleto,1973-07-27,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947383.jpeg,51.0,8500.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,0
148,LUANA JUTTEL,20667,PODE,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior incompleto,1988-04-27,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029034.jpeg,36.0,3000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,0
149,LUCAS COELHO,11033,PP,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Ensino Médio completo,1994-11-09,PP,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002151404.jpeg,29.0,38022.72,0.0,100.0,0.0,18.41,0.0,81.59,81.59,0.0,,,,0.0,0
150,LUCIANA ALVES,45100,PSDB,Feminino,NIQUELÂNDIA / GO,branca,Casada,Superior incompleto,1977-04-01,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292441.jpeg,47.0,,,,,,,,,,,,,141100.0,0
