,Candidato,Número,Partido,Gênero,Naturalidade,Cor,Estado civil,Grau de instrução,Data de nascimento,Coalisão,Image URL,Idade,Total de recursos recebidos (R$),Fundo partidário,Fundo especial,Outros recursos,Recursos financeiros,Doação de pessoas físicas,Recursos estimáveis,Doação de partidos,Recursos próprios,Limite de gastos (R$),Total de despesas contratadas (R$),Total de despesas pagas (R$),Total de Bens Declarados,Vezes em que concorreu
151,LUCIANA ANDRADE,20500,PODE,Feminino,CURITIBA / PR,branca,Solteira,Superior completo,1969-12-23,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029024.jpeg,54.0,5500.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,2
152,LUCIANA PARAENSE,12901,PDT,Feminino,BENEVIDES / PA,parda,Solteira,Superior completo,1988-07-10,PDT,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002383712.jpeg,36.0,,,,,,,,,,,,,0.0,0
153,LUCIANO CHAPLIN,10010,REPUBLICANOS,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1972-02-14,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947380.jpeg,52.0,9963.0,0.0,83.64,16.36,100.0,0.0,0.0,0.0,2.51,253058.41,9711.0,9711.0,686093.0,2
154,LUCIANO CORRÊA,44444,UNIÃO,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1974-11-17,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002148994.jpeg,49.0,12780.0,0.0,76.53,23.47,100.0,0.0,0.0,0.0,23.47,253058.41,16476.41,8496.41,0.0,0
155,LUCIANO MEDEIROS,20222,PODE,Masculino,PORTO ALEGRE / RS,parda,Solteiro,Superior completo,1978-08-14,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029043.jpeg,46.0,10000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,2
156,LUCIANO POPULAR,45321,PSDB,Masculino,FLORIANÓPOLIS / SC,parda,Casado,Superior incompleto,1968-03-21,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292436.jpeg,56.0,,,,,,,,,,,,,12000.0,0
157,LUIS ZAIA,20555,PODE,Masculino,FLORIANÓPOLIS / SC,branca,Separado judicialmente,Superior completo,1957-08-07,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029035.jpeg,67.0,,,,,,,,,,,,,3580000.0,5
158,LUIZ VOLNI,10777,REPUBLICANOS,Masculino,SÃO MIGUEL DO OESTE / SC,parda,Casado,Ensino Médio completo,1986-12-05,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947384.jpeg,37.0,10808.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,420.0,420.0,0.0,0
159,MAÇAN GUEDES,55999,PSD,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1975-09-14,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988760.jpeg,49.0,15950.0,0.0,94.04,5.96,100.0,0.0,0.0,0.0,5.96,,,,307000.0,3
160,MAESTRO ZEZINHO,11500,PP,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Ensino Médio completo,1946-03-25,PP,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002151400.jpeg,78.0,38022.72,0.0,100.0,0.0,18.41,0.0,81.59,81.59,0.0,253058.41,4000.0,0.0,0.0,0
161,MAICON COMBAT,44191,UNIÃO,Masculino,PORTO ALEGRE / RS,branca,Casado,Superior completo,1982-05-07,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149007.jpeg,42.0,19560.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,4895.0,1695.0,334937.36,0
162,MAIKON COSTA,11311,PP,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior incompleto,1983-12-23,PP,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002151408.jpeg,40.0,6500.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,0.0,5
163,MAK PEZENATTO,15015,MDB,Masculino,NOVA ERECHIM / SC,branca,Solteiro,Superior incompleto,1990-01-02,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150351.jpeg,34.0,1500.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,253058.41,1421.0,1421.0,60000.0,1
164,MANEZINHO BÁSICO,30001,NOVO,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1977-07-22,NOVO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001911802.jpeg,47.0,13723.05,0.0,56.98,43.02,84.7,0.0,15.3,15.3,0.0,253058.41,2100.0,2100.0,670000.0,0
165,MANU VIEIRA,22048,PL,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1982-07-18,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149660.jpeg,42.0,147860.22,0.0,33.82,66.18,100.0,53.5,0.0,0.0,1.01,253058.41,55985.66,44355.66,286023.84,1
166,MANUEL JÚNIOR,22333,PL,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior completo,1981-05-07,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149665.jpeg,43.0,50972.0,0.0,98.09,1.91,100.0,0.24,0.0,0.0,1.67,253058.41,160.65,160.65,164844.79,1
167,MARCELINHO DA INTENDÊNCIA,22111,PL,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Ensino Médio completo,1967-09-21,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149671.jpeg,57.0,50000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,265964.87,4
168,MARCELINO DUTRA,15000,MDB,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1964-10-26,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150368.jpeg,59.0,33500.0,0.0,89.55,10.45,100.0,0.0,0.0,0.0,10.45,253058.41,2000.0,2000.0,1365983.29,1
169,MARCELO 7 CORDAS,50222,PSOL,Masculino,FLORIANÓPOLIS / SC,preta,Divorciado,Superior completo,1974-01-08,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293287.jpeg,50.0,19000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,840.0,840.0,0.0,0
170,MÁRCIO VARGAS,50000,PSOL,Masculino,SANTA BÁRBARA DO SUL / RS,branca,Divorciado,Superior incompleto,1983-04-11,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293290.jpeg,41.0,15515.0,0.0,90.24,9.76,100.0,0.0,0.0,0.0,0.0,253058.41,11268.64,9268.64,22250.0,1
171,MARCO MEDEIROS,45123,PSDB,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1971-01-20,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292431.jpeg,53.0,42928.31,0.0,69.88,30.12,100.0,0.0,0.0,0.0,30.12,253058.41,26278.31,13528.31,257500.0,3
172,MARGARETE PHILIPPI CECCONI,18888,REDE,Feminino,LAURO MÜLLER / SC,branca,Casada,Superior completo,1953-02-02,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293291.jpeg,71.0,989.6,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,3
173,MARIA CLARA,70007,AVANTE,Feminino,NITERÓI / RJ,branca,Solteira,Superior completo,1994-03-02,AVANTE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002348467.jpeg,30.0,,,,,,,,,,,,,0.0,0
174,MARIA DA GRAÇA,12888,PDT,Feminino,RIO DE JANEIRO / RJ,branca,Divorciada,Superior completo,1949-07-12,PDT,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292908.jpeg,75.0,30000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,25436.9,24436.9,868883.4099999999,4
175,MARIA FERNANDA SANTIAGO,15999,MDB,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Ensino Médio incompleto,1983-06-29,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150364.jpeg,41.0,,,,,,,,,,,,,0.0,3
176,MARIA LUCIA,45678,PSDB,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1972-10-24,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292433.jpeg,51.0,30000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,620000.0,0
177,MARIEL GRANDO,20220,PODE,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1982-05-22,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029032.jpeg,42.0,3000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,1
178,MARQUINHO PATRICIO,45777,PSDB,Masculino,FLORIANÓPOLIS / SC,branca,Divorciado,Ensino Médio incompleto,1964-03-23,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292427.jpeg,60.0,10000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,150.0,150.0,140000.0,1
179,MARQUINHOS,15222,MDB,Masculino,FLORIANÓPOLIS / SC,branca,Divorciado,Superior completo,1969-04-11,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150363.jpeg,55.0,22350.0,0.0,44.74,55.26,100.0,44.74,0.0,0.0,0.0,253058.41,10697.78,10697.78,1611600.0,3
180,MARQUINHOS DA ALDEIA,50456,PSOL,Masculino,FLORIANÓPOLIS / SC,preta,Solteiro,Superior completo,1974-02-07,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293293.jpeg,50.0,19000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,8005.0,8005.0,54196.0,2
181,MARTINA DOMINGUES,10444,REPUBLICANOS,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1994-04-05,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947377.jpeg,30.0,8347.9,0.0,99.82,0.18,100.0,0.0,0.0,0.0,0.18,253058.41,14.9,14.9,0.0,0
182,MAURO COSTA,44567,UNIÃO,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior completo,1981-06-16,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149003.jpeg,43.0,26060.0,0.0,75.06,24.94,100.0,7.67,0.0,0.0,5.76,253058.41,20716.78,20716.78,400000.0,0
183,MAURO PIRATA,11066,PP,Masculino,PORTO ALEGRE / RS,parda,Solteiro,Ensino Médio completo,1971-10-28,PP,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002390121.jpeg,52.0,14461.8,0.0,87.92,12.08,55.05,0.0,44.95,44.95,0.0,,,,0.0,0
184,MAY,55016,PSD,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior incompleto,2002-02-27,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988749.jpeg,22.0,10750.0,0.0,93.02,6.98,100.0,6.98,0.0,0.0,0.0,253058.41,3390.0,2250.0,0.0,0
185,MEG,16016,PSTU,Feminino,SÃO PAULO / SP,preta,Solteira,Superior incompleto,1994-07-22,PSTU,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149848.jpeg,30.0,10300.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,7400.0,0.0,0.0,0
186,MIGUEL GREGORIO,15555,MDB,Masculino,NITERÓI / RJ,branca,Casado,Ensino Médio completo,1980-02-23,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150355.jpeg,44.0,11975.0,0.0,83.51,16.49,100.0,0.0,0.0,0.0,8.77,253058.41,33.76,33.76,603000.0,0
187,MILEI DE FLORIPA,22038,PL,Masculino,FLORIANÓPOLIS / SC,branca,Solteiro,Superior completo,1967-10-27,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149668.jpeg,56.0,58000.0,0.0,86.21,13.79,100.0,0.0,0.0,0.0,13.79,253058.41,3508.8,3508.8,8141200.75,1
188,MIRÊ CHAGAS,50750,PSOL,Feminino,PORTO ALEGRE / RS,parda,Solteira,Superior completo,1994-05-23,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293281.jpeg,30.0,54110.14,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,33941.5,18120.0,0.0,0
189,MONALIZA,22200,PL,Feminino,BENTO GONÇALVES / RS,branca,Casada,Superior completo,1982-08-02,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149662.jpeg,42.0,53320.0,0.0,93.77,6.23,100.0,3.75,0.0,0.0,0.75,253058.41,5723.58,5723.58,0.0,0
190,MONICA DUARTE,20000,PODE,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1995-01-22,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029026.jpeg,29.0,59760.0,0.0,50.2,49.8,100.0,49.8,0.0,0.0,0.0,253058.41,41103.6,20103.6,0.0,1
191,MT COLETIVO PRACIMAFLORIPA,45555,PSDB,Masculino,SETE QUEDAS / MS,parda,Casado,Ensino Fundamental incompleto,1983-02-28,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292425.jpeg,41.0,30200.0,0.0,99.34,0.66,100.0,0.66,0.0,0.0,0.0,,,,167000.0,0
192,NADIR ALVES,10017,REPUBLICANOS,Feminino,MANDAGUARI / PR,branca,Divorciada,Ensino Médio completo,1967-12-06,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947362.jpeg,56.0,8333.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,8300.0,8300.0,50960.0,0
193,NANA MARTINELLI,22122,PL,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1980-01-06,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149676.jpeg,44.0,15000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,1000.0,1000.0,84000.0,0
194,NATHAN SILVA,12401,PDT,Masculino,IMPERATRIZ / MA,preta,Solteiro,Ensino Médio completo,1990-12-25,PDT,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292912.jpeg,33.0,10971.2,0.0,95.5,4.5,95.44,6.38,4.56,4.56,2.47,253058.41,6141.2,6141.2,0.0,0
195,NEGA GRAZI,15100,MDB,Feminino,FLORIANÓPOLIS / SC,preta,Solteira,Superior incompleto,1983-05-22,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150350.jpeg,41.0,18050.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,108267.93,2
196,NEGÃO MAICOM,40987,PSB,Masculino,FLORIANÓPOLIS / SC,preta,Casado,Ensino Fundamental completo,1987-10-08,PSB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002291706.jpeg,36.0,2000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,265000.0,0
197,NEICICLAGEM,50300,PSOL,Masculino,MAFRA / SC,branca,Solteiro,Superior completo,1978-10-16,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293297.jpeg,45.0,14000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,640.0,640.0,0.0,2
198,NENI,10555,REPUBLICANOS,Masculino,FLORIANÓPOLIS / SC,parda,Solteiro,Superior incompleto,1983-07-23,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947365.jpeg,41.0,47308.0,0.0,31.5,68.5,72.52,77.15,27.48,27.48,0.0,253058.41,32630.78,27688.78,0.0,1
199,NIDE SOUZA,20129,PODE,Feminino,PALHOÇA / SC,branca,Solteira,Ensino Médio completo,1971-09-19,PODE,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029030.jpeg,53.0,,,,,,,,,,,,,0.0,0
200,NILDA OLIVEIRA,45111,PSDB,Feminino,DOM CAVATI / MG,parda,Casada,Ensino Médio completo,1966-05-24,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292432.jpeg,58.0,55100.0,0.0,90.74,9.26,100.0,2.72,0.0,0.0,6.53,253058.41,6284.25,3284.25,927669.13,0
201,NILDÃO,65123,PC do B,Masculino,SIMÃO DIAS / SE,branca,Casado,Superior completo,1965-02-18,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149315.jpeg,59.0,209649.1,9.54,78.19,12.27,100.0,9.84,0.0,0.0,0.0,253058.41,171250.28,120750.28,149451.79,5
202,NOEMI LEAL,44777,UNIÃO,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1969-10-25,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149006.jpeg,54.0,69560.0,0.0,85.31,14.69,100.0,12.94,0.0,0.0,1.75,253058.41,57153.75,57153.75,117798.39,2
203,PASTOR GILIARD TORQUATO,22444,PL,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1983-07-31,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149655.jpeg,41.0,65546.1,0.0,100.0,0.0,76.28,23.72,23.72,23.72,0.0,253058.41,1469.0,1469.0,0.0,0
204,PASTOR NAPOLEÃO BONAPARTE,44888,UNIÃO,Masculino,FORTALEZA / CE,branca,Divorciado,Ensino Médio completo,1960-07-25,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002148992.jpeg,64.0,,,,,,,,,,,,,0.0,4
205,PASTORA BRISA,10012,REPUBLICANOS,Feminino,RIO DE JANEIRO / RJ,branca,Casada,Ensino Médio completo,1976-12-02,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947368.jpeg,47.0,8333.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,8100.0,8100.0,31426.0,0
206,PAULINHO SOUZA,12999,PDT,Masculino,URUBICI / SC,branca,Solteiro,Superior incompleto,1966-11-13,PDT,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292909.jpeg,57.0,6000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,6000.0,3000.0,0.0,1
207,PAULO RICARDO,44727,UNIÃO,Masculino,FLORIANÓPOLIS / SC,preta,Casado,Ensino Fundamental completo,1964-10-09,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149008.jpeg,59.0,29340.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,26921.9,2094.0,25000.0,0
208,PAULO ROSA,55222,PSD,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1960-10-24,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988764.jpeg,63.0,,,,,,,,,,,,,0.0,0
209,PAULO SILVA,45444,PSDB,Masculino,PINHÃO / PR,parda,Casado,Ensino Médio completo,1975-02-28,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292439.jpeg,49.0,15000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,595.0,0.0,37500.0,0
210,PEDRO NEVES,22222,PL,Masculino,RESENDE / RJ,branca,Casado,Superior completo,1992-04-05,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149656.jpeg,32.0,54756.5,0.0,91.31,8.69,100.0,0.0,0.0,0.0,8.69,253058.41,8359.0,8359.0,20000.0,1
211,PHERNANDA RAMOS,45044,PSDB,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior incompleto,1989-07-18,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292428.jpeg,35.0,10000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,2
212,PRI FERNANDES ADOTE,55444,PSD,Feminino,CANOAS / RS,branca,Divorciada,Superior completo,1974-10-10,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988762.jpeg,49.0,77128.89,0.0,75.81,24.19,80.38,25.01,19.62,19.62,7.78,253058.41,13400.0,13400.0,1000000.0,2
213,PRISCILA REJANE,11007,PP,Feminino,BELO HORIZONTE / MG,branca,Solteira,Ensino Médio completo,1982-06-30,PP,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002151396.jpeg,42.0,54091.51,6.98,93.02,0.0,53.0,0.0,47.0,47.0,0.0,253058.41,18110.45,0.0,54706.0,0
214,PROF. PEDRO CABRAL,50123,PSOL,Masculino,FLORIANÓPOLIS / SC,preta,Solteiro,Superior completo,1960-07-03,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293301.jpeg,64.0,83557.99,0.0,93.42,6.58,100.0,0.0,0.0,0.0,0.6,253058.41,16870.64,16870.64,155736.69,4
215,PROF. ROSSO,22666,PL,Masculino,CRICIÚMA / SC,branca,Casado,Superior completo,1971-06-07,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149672.jpeg,53.0,100000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,946931.96,1
216,PROFESSOR BRUNO,13333,PT,Masculino,LAGES / SC,branca,Casado,Superior completo,1983-08-15,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149314.jpeg,41.0,70791.37,0.0,72.19,27.81,95.76,15.03,4.24,4.24,0.0,253058.41,40505.8,40505.8,302357.42,0
217,PROFESSOR CADU,13123,PT,Masculino,ITAJAÍ / SC,branca,Solteiro,Superior completo,1979-02-03,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149325.jpeg,45.0,113886.54,0.0,71.19,28.81,92.13,30.93,7.87,7.87,0.0,253058.41,112725.0,98758.32,223206.55,3
218,PROFESSOR FABIANO PEREIRA,44010,UNIÃO,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1971-05-13,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149001.jpeg,53.0,14670.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,3
219,PROFESSOR FELIPE,55333,PSD,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1968-01-30,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988758.jpeg,56.0,65500.0,0.0,0.0,100.0,46.56,83.97,53.44,53.44,16.03,253058.41,17516.33,11516.33,66326.70000000001,4
220,PROFESSOR JOSEMIR,13031,PT,Masculino,FLORIANÓPOLIS / SC,branca,Divorciado,Superior completo,1969-06-26,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149318.jpeg,55.0,8969.07,0.0,83.28,16.72,100.0,0.0,0.0,0.0,16.72,253058.41,8969.07,8969.07,452677.11,4
221,PROFESSOR MARCOS SOUZA,22456,PL,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1989-06-13,PL,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149654.jpeg,35.0,50000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,92857.9,0
222,PROFESSOR MAYCON OLIVEIRA,15444,MDB,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1978-11-02,MDB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002150362.jpeg,45.0,12100.0,0.0,82.64,17.36,100.0,8.26,0.0,0.0,4.13,253058.41,521.9,521.9,0.0,5
223,PROFESSOR PAULO HORTA,13048,PT,Masculino,SÃO PAULO / SP,branca,Solteiro,Superior completo,1972-11-13,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149316.jpeg,51.0,39559.07,0.0,18.88,81.12,100.0,19.03,0.0,0.0,37.92,253058.41,29630.84,29630.84,786000.0,0
224,PROFESSOR PEDRO,80000,UP,Masculino,LAGES / SC,branca,Solteiro,Superior completo,1999-07-16,UP,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002029093.jpeg,25.0,8749.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,3758.5,0.0,0.0,0
225,PROFESSOR VANIO,40111,PSB,Masculino,FLORIANÓPOLIS / SC,branca,Casado,Superior completo,1973-10-25,PSB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002291711.jpeg,50.0,1000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,178900.0,0
226,PROFESSOR ZACARIA,55777,PSD,Masculino,FOZ DO IGUAÇU / PR,branca,Solteiro,Superior completo,1974-06-16,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988757.jpeg,50.0,5000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,2654746.6200000006,0
